Fecha,y1,y2
07-04-07,525.41,392.5
08-04-07,525.41,392.32
09-04-07,525.41,392.15
10-04-07,525.36,392.39
11-04-07,525.31,391.95
12-04-07,525.2,391.27
13-04-07,525.1,392.34
14-04-07,525.01,391.99
15-04-07,524.96,392.52
16-04-07,524.93,392.55
17-04-07,524.87,392.11
18-04-07,524.81,391.69
19-04-07,524.72,391.77
20-04-07,524.66,392.22
21-04-07,524.63,391.64
22-04-07,524.6,392
23-04-07,524.57,391.63
24-04-07,524.45,391.69
25-04-07,524.36,392.97
26-04-07,524.3,392.37
27-04-07,524.27,392.28
28-04-07,524.27,392
29-04-07,524.26,391.6
30-04-07,524.27,391.74
01-05-07,524.23,391.34
02-05-07,524.19,391.35
03-05-07,524.11,391.42
04-05-07,524.03,391.87
05-05-07,523.97,392.09
06-05-07,523.97,392.07
07-05-07,523.98,390.86
08-05-07,523.92,390.37
09-05-07,523.86,390.87
10-05-07,523.79,391.28
11-05-07,523.78,391.74
12-05-07,523.7,391.67
13-05-07,523.66,391.9
14-05-07,523.65,392.25
15-05-07,523.63,391.77
16-05-07,523.61,392.1
17-05-07,523.58,391.4
18-05-07,523.54,391.92
19-05-07,523.54,392.85
20-05-07,523.49,392.46
21-05-07,523.49,392.24
22-05-07,523.49,392.05
23-05-07,523.49,391.72
24-05-07,523.49,392.21
25-05-07,523.49,392.2
26-05-07,523.49,392.28
27-05-07,523.5,392.4
28-05-07,523.56,392.5
29-05-07,523.57,392.61
30-05-07,523.58,392.31
31-05-07,523.64,392.43
01-06-07,523.66,391.62
02-06-07,523.67,390.68
03-06-07,523.69,389.36
04-06-07,523.7,389.48
05-06-07,523.6,390.86
06-06-07,523.6,391.8
07-06-07,523.57,392.13
08-06-07,523.6,391.07
09-06-07,523.61,390.45
10-06-07,523.6,390.2
11-06-07,523.62,390.25
12-06-07,523.63,390.46
13-06-07,523.64,389.9
14-06-07,523.62,390.48
15-06-07,523.57,390.24
16-06-07,523.58,390.79
17-06-07,523.59,391.45
18-06-07,523.66,391.6
19-06-07,523.74,391.53
20-06-07,523.76,391.76
21-06-07,523.79,391.46
22-06-07,523.81,391.37
23-06-07,523.83,391.45
24-06-07,523.86,390.78
25-06-07,523.88,390.71
26-06-07,523.91,390.46
27-06-07,523.96,390.54
28-06-07,523.98,390.3
29-06-07,523.99,390.21
30-06-07,524.01,390.02
01-07-07,524.04,389.9
02-07-07,524.04,390
03-07-07,524.06,389.58
04-07-07,524.06,389.36
05-07-07,524.07,389.47
06-07-07,524.03,389.59
07-07-07,523.98,389.93
08-07-07,524,390.71
09-07-07,524.01,390.07
10-07-07,524.03,389.25
11-07-07,524.03,388.99
12-07-07,524,388.29
13-07-07,523.96,388.45
14-07-07,523.91,388.09
15-07-07,523.86,388.42
16-07-07,523.86,388.96
17-07-07,523.82,389.04
18-07-07,523.83,389.76
19-07-07,523.88,389.09
20-07-07,523.9,388
21-07-07,523.91,387.56
22-07-07,523.91,387.02
23-07-07,523.98,387.47
24-07-07,524.02,387.48
25-07-07,524.1,387.29
26-07-07,524.15,387.92
27-07-07,524.19,387.88
28-07-07,524.22,388.13
29-07-07,524.24,387.57
30-07-07,524.29,387.71
31-07-07,524.32,387.72
01-08-07,524.32,387.74
02-08-07,524.33,388.59
03-08-07,524.34,388.31
04-08-07,524.38,388
05-08-07,524.4,388.4
06-08-07,524.46,388.56
07-08-07,524.56,388.44
08-08-07,524.66,388.23
09-08-07,524.71,388
10-08-07,524.77,387.75
11-08-07,524.75,388.32
12-08-07,524.8,388.32
13-08-07,524.86,388.15
14-08-07,524.97,387.52
15-08-07,525.08,387.93
16-08-07,525.19,388.27
17-08-07,525.31,388.43
18-08-07,525.39,388.28
19-08-07,525.48,388.02
20-08-07,525.52,388.22
21-08-07,525.56,387.27
22-08-07,525.61,386.74
23-08-07,525.62,386.61
24-08-07,525.65,387.73
25-08-07,525.75,388.67
26-08-07,525.81,387.95
27-08-07,525.92,388.24
28-08-07,526.02,388.37
29-08-07,526.11,388.89
30-08-07,526.24,388.55
31-08-07,526.36,389.06
01-09-07,526.54,389.24
02-09-07,526.65,389.7
03-09-07,526.78,390.18
04-09-07,526.88,388.2
05-09-07,526.96,386.92
06-09-07,527.03,386.28
07-09-07,527.11,387.4
08-09-07,527.18,388.04
09-09-07,527.26,388.65
10-09-07,527.46,388.95
11-09-07,527.55,388.97
12-09-07,527.65,388.24
13-09-07,527.74,388.05
14-09-07,527.85,388.24
15-09-07,527.95,388.19
16-09-07,528.09,388.88
17-09-07,528.15,388.56
18-09-07,528.21,387.09
19-09-07,528.23,387.68
20-09-07,528.23,388.32
21-09-07,528.24,388.66
22-09-07,528.29,388.33
23-09-07,528.36,388.3
24-09-07,528.49,388.62
25-09-07,528.62,387.84
26-09-07,528.8,387.69
27-09-07,528.95,387.71
28-09-07,529,387.7
29-09-07,529.1,388.55
30-09-07,529.2,388.18
01-10-07,529.33,388.72
02-10-07,529.4,387.4
03-10-07,529.43,387.87
04-10-07,529.43,388.1
05-10-07,529.43,388.03
06-10-07,529.43,388.39
07-10-07,529.43,388.51
08-10-07,529.44,388.71
09-10-07,529.44,388.02
10-10-07,529.44,388.33
11-10-07,529.45,388.89
12-10-07,529.56,389.05
13-10-07,529.71,389.11
14-10-07,529.81,388.71
15-10-07,529.93,389.1
16-10-07,530,389.04
17-10-07,530.06,389.64
18-10-07,530.11,390.15
19-10-07,530.2,389.79
20-10-07,530.35,390.29
21-10-07,530.46,391.96
22-10-07,530.62,391.58
23-10-07,530.76,392.25
24-10-07,530.99,392.34
25-10-07,531.2,391.58
26-10-07,531.36,390.77
27-10-07,531.5,390.15
28-10-07,531.58,389.5
29-10-07,531.65,390.71
30-10-07,531.7,390.87
31-10-07,531.8,391.21
01-11-07,531.88,391.26
02-11-07,531.96,391.48
03-11-07,532.04,391.51
04-11-07,532.1,391.41
05-11-07,532.17,391.35
06-11-07,532.23,391
07-11-07,532.28,390.98
08-11-07,532.33,390.76
09-11-07,532.39,390.78
10-11-07,532.44,390.79
11-11-07,532.49,391.01
12-11-07,532.53,391.17
13-11-07,532.57,391.39
14-11-07,532.62,391.67
15-11-07,532.67,391.27
16-11-07,532.71,391.19
17-11-07,532.73,391.15
18-11-07,532.76,391.29
19-11-07,532.81,391.33
20-11-07,532.84,391.37
21-11-07,532.88,391.29
22-11-07,532.91,390.82
23-11-07,532.94,390.47
24-11-07,532.98,390.23
25-11-07,533.02,389.92
26-11-07,533.06,389.4
27-11-07,533.07,389.13
28-11-07,533.11,388.85
29-11-07,533.13,388.67
30-11-07,533.16,388.39
01-12-07,533.19,388.3
02-12-07,533.22,388.05
03-12-07,533.24,387.7
04-12-07,533.26,387.66
05-12-07,533.28,387.63
06-12-07,533.3,387.58
07-12-07,533.32,387.36
08-12-07,533.35,387.12
09-12-07,533.38,386.82
10-12-07,533.4,386.2
11-12-07,533.41,386.03
12-12-07,533.43,385.95
13-12-07,533.45,385.79
14-12-07,533.47,385.33
15-12-07,533.48,385.22
16-12-07,533.5,385.41
17-12-07,533.51,387.78
18-12-07,533.51,386.43
19-12-07,533.52,386.87
20-12-07,533.53,387.32
21-12-07,533.54,387.3
22-12-07,533.54,388.1
23-12-07,533.54,388.47
24-12-07,533.54,388.9
25-12-07,533.54,389.51
26-12-07,533.54,389.73
27-12-07,533.54,389.41
28-12-07,533.54,389.46
29-12-07,533.54,390.08
30-12-07,533.54,390.53
31-12-07,533.54,390.38
01-01-08,533.54,390.23
02-01-08,533.54,390.12
03-01-08,533.55,389.91
04-01-08,533.56,389.58
05-01-08,533.56,389.62
06-01-08,533.56,389.56
07-01-08,533.56,389.69
08-01-08,533.56,389.85
09-01-08,533.57,389.88
10-01-08,533.57,390.16
11-01-08,533.57,390.38
12-01-08,533.57,390.7
13-01-08,533.57,391.03
14-01-08,533.57,391.13
15-01-08,533.57,391.18
16-01-08,533.57,391.1
17-01-08,533.58,391.33
18-01-08,533.58,391.57
19-01-08,533.58,391.64
20-01-08,533.58,391.58
21-01-08,533.59,391.53
22-01-08,533.59,391.64
23-01-08,533.59,391.66
24-01-08,533.6,391.69
25-01-08,533.6,391.55
26-01-08,533.61,391.5
27-01-08,533.61,391.48
28-01-08,533.61,391.28
29-01-08,533.62,391.51
30-01-08,533.63,391.31
31-01-08,533.63,391.15
01-02-08,533.63,391.02
02-02-08,533.63,391.24
03-02-08,533.63,391.15
04-02-08,533.63,391.31
05-02-08,533.63,391.42
06-02-08,533.62,391.49
07-02-08,533.62,391.8
08-02-08,533.62,391.83
09-02-08,533.61,391.85
10-02-08,533.61,392.02
11-02-08,533.6,391.86
12-02-08,533.59,391.93
13-02-08,533.59,391.9
14-02-08,533.59,391.54
15-02-08,533.59,391.29
16-02-08,533.59,391.27
17-02-08,533.58,391.38
18-02-08,533.58,391.31
19-02-08,533.57,391.31
20-02-08,533.56,391.17
21-02-08,533.55,391.15
22-02-08,533.54,391.18
23-02-08,533.53,391.29
24-02-08,533.53,391.51
25-02-08,533.53,391.45
26-02-08,533.52,391.45
27-02-08,533.52,391.49
28-02-08,533.52,391.59
29-02-08,533.51,391.67
01-03-08,533.5,391.73
02-03-08,533.49,391.59
03-03-08,533.49,391.69
04-03-08,533.49,391.66
05-03-08,533.48,391.39
06-03-08,533.47,391.24
07-03-08,533.45,391.18
08-03-08,533.44,391.25
09-03-08,533.43,391.33
10-03-08,533.42,391.29
11-03-08,533.4,391.03
12-03-08,533.38,391.06
13-03-08,533.38,391.43
14-03-08,533.37,391.05
15-03-08,533.36,391.08
16-03-08,533.35,390.96
17-03-08,533.35,390.79
18-03-08,533.34,390.84
19-03-08,533.31,392.03
20-03-08,533.31,392.37
21-03-08,533.31,392.45
22-03-08,533.31,392.45
23-03-08,533.31,392.18
24-03-08,533.31,392.13
25-03-08,533.27,390.67
26-03-08,533.2,390.23
27-03-08,533.12,389.64
28-03-08,533.02,389.38
29-03-08,532.92,389.53
30-03-08,532.82,389.38
31-03-08,532.72,391.52
01-04-08,532.62,391.44
02-04-08,532.52,390.91
03-04-08,532.41,390.54
04-04-08,532.31,390.62
05-04-08,532.19,391.19
06-04-08,532.07,390.77
07-04-08,531.96,390.99
08-04-08,531.84,390.36
09-04-08,531.72,389.72
10-04-08,531.6,389.59
11-04-08,531.48,391.35
12-04-08,531.38,391.59
13-04-08,531.25,392.04
14-04-08,531.15,392.1
15-04-08,531.04,391.32
16-04-08,530.94,391.54
17-04-08,530.84,391.09
18-04-08,530.72,391.65
19-04-08,530.6,391.74
20-04-08,530.48,391.42
21-04-08,530.38,392.39
22-04-08,530.26,391.8
23-04-08,530.14,391.7
24-04-08,530.02,391.95
25-04-08,529.91,391.97
26-04-08,529.77,391.73
27-04-08,529.63,391.96
28-04-08,529.51,392.63
29-04-08,529.38,392.18
30-04-08,529.25,392.02
01-05-08,529.12,391.89
02-05-08,529,392.08
03-05-08,528.87,391.48
04-05-08,528.72,391.97
05-05-08,528.6,392.27
06-05-08,528.48,391.72
07-05-08,528.36,391.53
08-05-08,528.36,391.53
09-05-08,528.07,391.89
10-05-08,527.92,391.51
11-05-08,527.82,390.88
12-05-08,527.68,391.35
13-05-08,527.55,390.66
14-05-08,527.41,390.54
15-05-08,527.27,391.08
16-05-08,527.12,391.39
17-05-08,526.97,391.19
18-05-08,526.83,392.11
19-05-08,526.78,391.33
20-05-08,526.64,391.58
21-05-08,526.51,392.18
22-05-08,526.39,391.29
23-05-08,526.26,390.86
24-05-08,526.12,390.75
25-05-08,525.97,390.66
26-05-08,525.84,392.82
27-05-08,525.75,391.27
28-05-08,525.67,389.46
29-05-08,525.54,389.45
30-05-08,525.4,390.06
31-05-08,525.26,391.03
01-06-08,525.11,392.38
02-06-08,525.08,391.1
