nombre,Fecha,data
x1,2008-06-17,32.32
x1,2008-06-18,49.49
x1,2008-06-19,58.78
x1,2008-06-20,35.73
x1,2008-06-21,95.49
x1,2008-06-22,33.88
x1,2008-06-23,27.95
x1,2008-06-24,11.13
x1,2008-06-25,22.36
x1,2008-06-26,27.66
x1,2008-06-27,78.62
x1,2008-06-28,88.11
x1,2008-06-29,55.45
x1,2008-06-30,56.11
x1,2008-07-01,54.93
x1,2008-07-02,90.94
x1,2008-07-03,67.45
x1,2008-07-04,66
x1,2008-07-05,90.56
x1,2008-07-06,94.16
x1,2008-07-07,131.26
x1,2008-07-08,110.01
x1,2008-07-09,74.13
x1,2008-07-10,103.85
x1,2008-07-11,60.46
x1,2008-07-12,85.11
x1,2008-07-13,57.54
x1,2008-07-14,122.01
x1,2008-07-15,140.18
x1,2008-07-16,89.94
x1,2008-07-17,77.34
x1,2008-07-18,42.04
x1,2008-07-19,35.56
x1,2008-07-20,91.04
x1,2008-07-21,96.11
x1,2008-07-22,159.47
x1,2008-07-23,73.13
x1,2008-07-24,113.36
x1,2008-07-25,70.84
x1,2008-07-26,104.1
x1,2008-07-27,35.87
x1,2008-07-28,60.03
x1,2008-07-29,44.87
x1,2008-07-30,70.72
x1,2008-07-31,18.02
x1,2008-08-01,105.54
x1,2008-08-02,54.39
x1,2008-08-03,91.21
x1,2008-08-04,82.78
x1,2008-08-05,105.37
x1,2008-08-06,70.97
x1,2008-08-07,58.99
x1,2008-08-08,40.74
x1,2008-08-09,51.04
x1,2008-08-10,76.77
x1,2008-08-11,91.6
x1,2008-08-12,59.41
x1,2008-08-13,75.77
x1,2008-08-14,90.46
x1,2008-08-15,91.77
x1,2008-08-16,94.03
x1,2008-08-17,78.73
x1,2008-08-18,63.08
x1,2008-08-19,55.64
x1,2008-08-20,56.46
x1,2008-08-21,85.88
x1,2008-08-22,76.98
x1,2008-08-23,65.85
x1,2008-08-24,41.81
x1,2008-08-25,49.35
x1,2008-08-26,54.34
x1,2008-08-27,66.18
x1,2008-08-28,71.37
x1,2008-08-29,75.67
x1,2008-08-30,37.87
x1,2008-08-31,32.97
x1,2008-09-01,56.05
x1,2008-09-02,54.14
x1,2008-09-03,59.03
x1,2008-09-04,63.55
x1,2008-09-05,84.47
x1,2008-09-06,111.92
x1,2008-09-07,109.14
x1,2008-09-08,108.2
x1,2008-09-09,63.19
x1,2008-09-10,95.45
x1,2008-09-11,72.71
x1,2008-09-12,62.73
x1,2008-09-13,68.95
x1,2008-09-14,56.26
x1,2008-09-15,41.33
